study_status,sponsor,enrollment,study_type,study_design,study_duration_days,sex_all,sex_female,sex_male,has_child,has_adult,has_older_adult,phase1,phase2,phase3,funder_fed,funder_indiv,funder_industry,funder_network,funder_nih,funder_other,funder_other_gov,funder_unknown,missing_start_date,missing_primary_completion_date,missing_completion_date
1,9,17,0,15,1401.0,True,False,False,0,1,1,1,1,0,False,False,True,False,False,False,False,False,0,1,1
1,9,30,0,61,376.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,18,0,118,1030.0,True,False,False,0,1,0,1,1,0,False,False,True,False,False,False,False,False,0,0,0
0,9,90,0,124,813.0,True,False,False,0,1,1,1,1,0,False,False,True,False,False,False,False,False,0,0,0
0,9,134,0,15,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,1,1,1
1,9,42,0,66,1401.0,False,True,False,1,1,1,0,1,0,False,False,False,False,False,True,False,False,0,1,1
0,9,72,0,169,1180.0,True,False,False,0,1,0,0,1,0,False,False,True,False,False,False,False,False,0,0,0
0,9,10,0,124,1401.0,True,False,False,0,1,0,0,1,0,False,False,False,False,False,True,False,False,1,1,1
0,9,318,0,124,304.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,0,0
1,9,10,0,15,1401.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,1,1,1
1,9,336,0,118,1401.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,1,1
1,9,12,0,58,1401.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,1,1
1,9,270,0,106,663.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,0,0
1,9,36,0,80,1401.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,1,1,1
1,9,38,0,150,2160.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,0,0
0,9,70,0,103,1401.0,True,False,False,1,1,0,0,1,1,False,False,False,False,False,True,False,False,1,1,1
1,9,120,0,118,476.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,0,0
1,9,17,0,15,1401.0,True,False,False,0,1,1,1,1,0,False,False,True,False,False,False,False,False,0,1,1
1,9,45,0,150,585.0,True,False,False,0,1,0,1,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,999,0,106,760.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
